Id,NAME,OWNERSHIP,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
a735bf55-83e9-331a-899d-a82a60b9f60c,Medicare,GOVERNMENT,,,,,,4746079.19,253947.29,715780.80,1988,0,2069,0,4380,0,451,0,33,0.7197986697942096,4356
df166300-5a78-3502-a46a-832842197811,Medicaid,GOVERNMENT,,,,,,8189171.81,199955.82,72280.00,2657,0,853,0,5533,0,974,0,41,0.9381225618271809,7296
d18ef2e6-ef40-324c-be54-34a5ee865625,Dual Eligible,GOVERNMENT,,,,,,1669718.18,53363.38,9260.00,900,0,1256,0,1872,0,107,0,9,0.7704125084705601,948
26aab0cd-6aba-3e1b-ac5b-05c8867e762c,Humana,PRIVATE,,,,,,4481904.63,3006027.28,3252078.00,2438,0,1224,0,5873,0,1026,0,22,0.9587718594328056,9612
b046940f-1664-3047-bca7-dfa76be352a4,Blue Cross Blue Shield,PRIVATE,,,,,,3627799.73,1379866.78,2295780.00,1042,0,344,0,2580,0,506,0,42,0.5087843907135711,7404
d31fccc3-1767-390d-966a-22a5156f4219,UnitedHealthcare,PRIVATE,,,,,,2401286.10,892173.12,2694068.00,1266,0,382,0,2872,0,642,0,16,0.9312154680252769,5436
0133f751-9229-3cfd-815f-b6d4979bdd6a,Aetna,PRIVATE,,,,,,269847.30,675329.96,311779.30,474,0,193,0,1159,0,221,0,22,0.9517006910810181,2712
8fa6c185-e44e-3e34-8bd8-39be8694f4ce,Cigna Health,PRIVATE,,,,,,681143.63,606568.87,282299.46,432,0,229,0,1234,0,169,0,21,0.9220440400860129,1980
734afbd6-4794-363b-9bc0-6a3981533ed5,Anthem,PRIVATE,,,,,,1303956.13,307381.08,527740.31,546,0,364,0,1172,0,199,0,20,0.9193921042355251,1740
e03e23c9-4df1-3eb6-a62d-f70f02301496,NO_INSURANCE,NO_INSURANCE,,,,,,0.00,8718701.92,0.00,0,2850,0,871,0,6296,0,1421,40,0.9708543064901257,11892
